filmname,year,language,genre,director,actor,imdbrating
Alien,1979,English,Horror/Sci-Fi,Ridley Scott,Sigourney Weaver,8.5
2001: A Space Odyssey,1968,English,Mystery/Sci-Fi,Stanley Kubrick,Keir Dullea,8.3
Toy Story,1995,English,Animation/Adventure,John Lasseter,Tom Hanks,8.3
The Shining,1980,English,Drama/Horror,Stanley Kubrick,Jack Nicholson,8.4
Full Metal Jacket,1987,English,Drama/War,Stanley Kubrick,Matthew Modine,8.3
Oppenheimer,2023,English,Biography/Drama,Christopher Nolan,Cillian Murphy,8.3
Sholay,1975,Hindi,Action/Adventure,Ramesh Sippy,Amitabh Bachchan,8.2
Deewar,1975,Hindi,Action/Crime,Yash Chopra,Amitabh Bachchan,8.0
Mughal-E-Azam,1960,Hindi,Drama/History,K. Asif,Dilip Kumar,8.1
Mother India,1957,Hindi,Drama,Mehboob Khan,Nargis,8.0
Pyaasa,1957,Hindi,Drama/Romance,Guru Dutt,Guru Dutt,8.2
Kaagaz Ke Phool,1959,Hindi,Drama/Romance,Guru Dutt,Guru Dutt,8.0
3 Idiots,2009,Hindi,Comedy/Drama,Rajkumar Hirani,Aamir Khan,8.4
PK,2014,Hindi,Comedy/Drama,Rajkumar Hirani,Aamir Khan,8.1
Dangal,2016,Hindi,Biography/Drama,Nitesh Tiwari,Aamir Khan,8.3
Lagaan,2001,Hindi,Drama/Sport,Ashutosh Gowariker,Aamir Khan,8.1
Dilwale Dulhania Le Jayenge,1995,Hindi,Drama/Romance,Aditya Chopra,Shah Rukh Khan,8.1
Kabhi Khushi Kabhie Gham,2001,Hindi,Drama/Romance,Karan Johar,Shah Rukh Khan,7.4
Dil Chahta Hai,2001,Hindi,Comedy/Drama,Farhan Akhtar,Aamir Khan,8.1
Rang De Basanti,2006,Hindi,Drama/History,Rakeysh Omprakash Mehra,Aamir Khan,8.1
Black Friday,2004,Hindi,Crime/Drama,Anurag Kashyap,Kay Kay Menon,8.3
Gangs of Wasseypur,2012,Hindi,Action/Crime,Anurag Kashyap,Manoj Bajpayee,8.3
Dev.D,2009,Hindi,Drama/Romance,Anurag Kashyap,Abhay Deol,8.0
Masaan,2015,Hindi,Drama/Romance,Neeraj Ghaywan,Vicky Kaushal,8.2
Taare Zameen Par,2007,Hindi,Drama,Aamir Khan,Darsheel Safary,8.4
A Wednesday,2008,Hindi,Crime/Thriller,Neeraj Pandey,Anupam Kher,8.1
Special 26,2013,Hindi,Crime/Thriller,Neeraj Pandey,Akshay Kumar,8.0
Queen,2014,Hindi,Adventure/Drama,Vikas Bahl,Kangana Ranaut,8.1
Andhadhun,2018,Hindi,Crime/Thriller,Sriram Raghavan,Ayushmann Khurrana,8.3
Article 15,2019,Hindi,Crime/Drama,Anubhav Sinha,Ayushmann Khurrana,8.1
Gulaal,2009,Hindi,Drama/Thriller,Anurag Kashyap,Kay Kay Menon,8.1
Udaan,2010,Hindi,Drama,Vikramaditya Motwane,Rajat Barmecha,8.3
Lootera,2013,Hindi,Crime/Drama,Vikramaditya Motwane,Ranveer Singh,7.9
Kahaani,2012,Hindi,Mystery/Thriller,Sujoy Ghosh,Vidya Balan,8.1
Pink,2016,Hindi,Crime/Drama,Aniruddha Roy Chowdhury,Amitabh Bachchan,8.1
Tumbbad,2018,Hindi,Fantasy/Horror,Rahi Anil Barve,Sohum Shah,8.3
Raazi,2018,Hindi,Drama/Thriller,Meghna Gulzar,Alia Bhatt,7.9
URI: The Surgical Strike,2019,Hindi,Action/Drama,Aditya Dhar,Vicky Kaushal,8.2
Super 30,2019,Hindi,Biography/Drama,Vikas Bahl,Hrithik Roshan,7.9
Bhaag Milkha Bhaag,2013,Hindi,Biography/Drama,Rakeysh Omprakash Mehra,Farhan Akhtar,8.1
Mary Kom,2014,Hindi,Biography/Drama,Omung Kumar,Priyanka Chopra,7.2
Chak De! India,2007,Hindi,Drama/Sport,Shimit Amin,Shah Rukh Khan,8.2
Swades,2004,Hindi,Drama,Ashutosh Gowariker,Shah Rukh Khan,8.2
Do Aankhen Barah Haath,1957,Hindi,Drama,V. Shantaram,V. Shantaram,7.8
Guide,1965,Hindi,Drama/Romance,Vijay Anand,Dev Anand,7.9
Anand,1971,Hindi,Drama,Hrishikesh Mukherjee,Rajesh Khanna,8.1
Chupke Chupke,1975,Hindi,Comedy,Hrishikesh Mukherjee,Dharmendra,8.1
Golmaal,1979,Hindi,Comedy,Hrishikesh Mukherjee,Amol Palekar,8.1
Jaane Bhi Do Yaaron,1983,Hindi,Comedy/Drama,Kundan Shah,Naseeruddin Shah,8.2
Ardh Satya,1983,Hindi,Crime/Drama,Govind Nihalani,Om Puri,8.3
Ankur,1974,Hindi,Drama,Shyam Benegal,Shabana Azmi,7.9
Nishant,1975,Hindi,Drama,Shyam Benegal,Girish Karnad,8.0
Manthan,1976,Hindi,Drama,Shyam Benegal,Smita Patil,8.1
Shree 420,1955,Hindi,Comedy/Drama,Raj Kapoor,Raj Kapoor,7.6
Awaara,1951,Hindi,Crime/Drama,Raj Kapoor,Raj Kapoor,7.6
Deewana,1992,Hindi,Drama/Romance,Raj Kanwar,Shah Rukh Khan,6.8
